INDEX	form	lemma	xpos	syllables	stress	phon	Check?
215438	pedopsihiatrii	pedopsihiatrie	Ncfp-n	pe.do.psi.hi.a.trii	pedopsihiatr'ii	p e d o p s i h i a t r i j	y
216066	pentateuh	=	Ncms-n	pen.ta.te.uh	pentat'euh	p e n t a t e u h	y
216070	pentateuhuri	pentateuh	Ncfp-n	pen.ta.te.u.huri	pentat'euhuri	p e n t a t e u h u r i_0	y
216290	percuționist	=	Ncms-n	per.cu.ți.o.nist	percuțion'ist	p e r k u ts i o n i s t	y
216293	percuționiști	percuționist	Ncmp-n	per.cu.ți.o.niști	percuțion'iști	p e r k u ts i o n i S t i_0	y
218973	piemn	=	Ncms-n	piemn	pi'emn	p j e m n	y
218976	piemnuri	piemn	Ncfp-n	piem.nuri	pi'emnuri	p j e m n u r i_0	y
222143	ploaie	=	Ncfsrn	ploa.ie	plo'aie	p l o_X a j e	k
222150	ploi	ploaie	Ncfp-n	ploi	ploi	p l o j	k
227120	prairial	=	Ncms-n	prai.ri.al	prairi'al	p r e r i a l	y
227121	prairiali	prairial	Ncmp-n	prai.ri.ali	prairi'ali	p r e r i a l i_0	y
229049	preluări	preluare	Ncfp-n	pre.lu.ări	prelu'ări	p r e l u @ r i_0	y
229059	preluare	=	Ncfsrn	pre.lu.a.re	prelu'are	p r e l u a r e	y
229871	prescriere	=	Ncfsrn	pres.cri.e.re	prescr'iere	p r e s k r i e r e	y
229873	prescrieri	prescriere	Ncfp-n	pre.scri.eri	prescr'ieri	p r e s k r i e r i_0	y
236846	ptomaine	ptomaină	Ncfp-n	pto.ma.i.ne	ptoma'ine	p t o m a i n e	y
236851	ptomaină	=	Ncfsrn	pto.ma.i.nă	ptoma'ină	p t o m a i n @	y
241716	radiație	=	Ncfsrn	ra.di.a.ți.e	radi'ație	r a d i a ts i e	y
241718	radiații	radiație	Ncfp-n	ra.di.a.ții	radi'ații	r a d i a ts i j	y
243368	reacție	=	Ncfsrn	re.ac.ți.e	re'acție	r e a k ts i e	y
243370	reacții	reacție	Ncfp-n	re.ac.ții	re'acții	r e a k ts i j	y
247252	reevaluare	=	Ncfsrn	re.e.va.lu.a.re	reevalu'are	r e e v a l u a r e	y
247295	reevaluări	reevaluare	Ncfp-n	re.e.va.lu.ări	reevalu'ări	r e e v a l u @ r i_0	y
248950	reinserție	=	Ncfsrn	re.in.ser.ți.e	reins'erție	r e i n s e r ts i e	y
248952	reinserții	reinserție	Ncfp-n	re.in.ser.ții	reins'erții	r e i n s e r ts i j	y
248994	reinstaurare	=	Ncfsrn	re.in.sta.u.ra.re	reinstaur'are	r e i n s t a u r a r e	y
249037	reinstaurări	reinstaurare	Ncfp-n	re.in.sta.u.rări	reinstaur'ări	r e i n s t a u r @ r i_0	y
249833	reluare	=	Ncfsrn	re.lu.a.re	relu'are	r e l u a r e	y
249872	reluări	reluare	Ncfp-n	re.lu.ări	relu'ări	r e l u @ r i_0	y
259106	râi	râie	Ncfp-n	râi	r'âi	r 1 j	k
259109	râie	=	Ncf--n	râ.ie	r'âie	r 1 j e	k
264696	scurteici	scurteică	Ncfp-n	scur.teici	scurte'ici	s k u r t e j tS	y
264702	scurteică	=	Ncfsrn	scur.tei.că	scurte'ică	s k u r t e j k @	y
264919	scântei	scânteie	Ncfp-n	scân.tei	scânt'ei	s k 1 n t e j	k
264946	scânteie	=	Ncfsrn	scân.te.ie	scânt'eie	s k 1 n t e j e	k
269791	similipiatră	=	Ncfsrn	si.mi.li.pia.tră	similipi'atră	s i m i l i p j a t r @	y
269792	similipietre	similipiatră	Ncfp-n	si.mi.li.pie.tre	similipi'etre	s i m i l i p j e t r e	y
277103	statui	statuie	Ncfp-n	sta.tui	stat'ui	s t a t u j	k
277106	statuie	=	Ncfsrn	sta.tu.ie	stat'uie	s t a t u j e	k
277209	stean	=	Ncms-n	stean	ste'an	s t e_X a n	y
277210	steane	stean	Ncfp-n	stea.ne	ste'ane	s t e_X a n e	y
281524	subscriere	=	Ncfsrn	sub.scri.e.re	subscr'iere	s u b s k r i e r e	y
281527	subscrieri	subscriere	Ncfp-n	sub.scri.eri	subscr'ieri	s u b s k r i e r i_0	y
286156	suveici	suveică	Ncfp-n	su.veici	suv'eici	s u v e j tS	y
286161	suveică	=	Ncfsrn	su.vei.că	suv'eică	s u v e j k @	y
286944	tămâi	tămâie	Ncfp-n	tă.mâi	tăm'âi	t @ m 1 j	k
286947	tămâie	=	Ncfsrn	tă.mâ.ie	tăm'âie	t @ m 1 j e	k
287155	tăureanc	=	Ncms-n	tă.u.reanc	tăure'anc	t @ u r e_X a n k	y
287158	tăurenci	tăureanc	Ncmp-n	tă.u.renci	tăur'enci	t @ u r e n tS	y
288366	taumaturg	=	Ncms-n	ta.u.ma.turg	taumat'urg	t a u m a t u r g	y
288367	taumaturgi	taumaturg	Ncmp-n	ta.u.ma.turgi	taumat'urgi	t a u m a t u r gZ	y
289049	teleleice	teleleică	Ncfp-n	te.le.lei.ce	telel'eice	t e l e l e j tS e	y
289051	teleleici	teleleică	Ncfp-n	te.le.leici	telel'eici	t e l e l e j tS	y
289057	teleleică	=	Ncfsrn	te.le.lei.că	telel'eică	t e l e l e j k @	y
289083	telescaun	=	Ncms-n	te.les.ca.un	telesc'aun	t e l e s k a u n	y
289084	telescaune	telescaun	Ncfp-n	te.les.ca.u.ne	telesc'aune	t e l e s k a u n e	y
291161	tigaie	=	Ncfsrn	ti.ga.ie	tig'aie	t i g a j e	k
291185	tigăi	tigaie	Ncfp-n	ti.găi	tig'ăi	t i g @ j	k
292792	toreutici	toreutică	Ncfp-n	to.re.u.tici	tore'utici	t o r e u t i tS	y
292797	toreutică	=	Ncfsrn	to.re.u.ti.că	tore'utică	t o r e u t i k @	y
293254	trăitor	=	Ncms-n	tră.i.tor	trăit'or	t r @ i t o r	y
293256	trăitori	trăitor	Ncmp-n	tră.i.tori	trăit'ori	t r @ i t o r i_0	y
294320	translare	=	Ncfsrn	trans.la.re	transl'are	t r a n s l a r e	!!
294374	translări	translare	Ncfp-n	trans.lări	transl'ări	t r a n s l @ r i_0	!!
303209	văpaie	=	Ncfsrn	vă.pa.ie	văp'aie	v @ p a j e	k
