	INDEX	form	lemma	xpos	syllables	stress	phon
104935	104935	digamma	=	Ncfsry	di.gam.ma	dig'amma	d i g a m m a
105156	105156	dilauden	=	Ncfp-n	di.lau.den	dilaud'en	d i l a w d e n
105157	105157	dilauden	=	Ncm--n	di.lau.den	dilaud'en	d i l a w d e n
105158	105158	dilauden	=	Ncmsvn	di.lau.den	dilaud'en	d i l a w d e n
105562	105562	dinte	=	Ncms-n	din.te	d'inte	d i n t e
105563	105563	dinte	=	Ncmsvy	din.te	d'inte	d i n t e
105801	105801	diriginte	=	Ncms-n	di.ri.gin.te	dirig'inte	d i r i gZ i n t e
105802	105802	diriginte	=	Ncmsvy	di.ri.gin.te	dirig'inte	d i r i gZ i n t e
106041	106041	disco	=	Ncfp-n	dis.co	d'isco	d i s k o
106042	106042	disco	=	Ncms-n	dis.co	d'isco	d i s k o
110893	110893	drușcă	=	Ncfsrn	druș.că	dr'ușcă	d r u S k @
110894	110894	drușcă	=	Ncfsvy	druș.că	dr'ușcă	d r u S k @
111218	111218	duble	=	Ncfp-n	du.ble	dubl'e	d u b l e
111219	111219	duble	=	Ncm--n	du.ble	dubl'e	d u b l e
111220	111220	duble	=	Ncmsvn	du.ble	dubl'e	d u b l e
111278	111278	duce	=	Ncms-n	du.ce	d'uce	d u tS e
111279	111279	duce	=	Ncmsvy	du.ce	d'uce	d u tS e
112265	112265	dârmox	=	Ncfp-n	dâr.mox	dârm'ox	d 1 r m o ks
112266	112266	dârmox	=	Ncm--n	dâr.mox	dârm'ox	d 1 r m o ks
112267	112267	dârmox	=	Ncmsvn	dâr.mox	dârm'ox	d 1 r m o ks
113348	113348	edelvais	=	Ncfp-n	e.del.vais	'edelvais	e d e l v a j s
113349	113349	edelvais	=	Ncm--n	e.del.vais	'edelvais	e d e l v a j s
113350	113350	edelvais	=	Ncmsvn	e.del.vais	'edelvais	e d e l v a j s
114626	114626	electrosomn	=	Ncfp-n	e.lec.tro.somn	electros'omn	e l e k t r o s o m n
114627	114627	electrosomn	=	Ncm--n	e.lec.tro.somn	electros'omn	e l e k t r o s o m n
114628	114628	electrosomn	=	Ncmsvn	e.lec.tro.somn	electros'omn	e l e k t r o s o m n
114637	114637	electrum	=	Ncfp-n	e.lec.trum	el'ectrum	e l e k t r u m
114638	114638	electrum	=	Ncm--n	e.lec.trum	el'ectrum	e l e k t r u m
114639	114639	electrum	=	Ncmsvn	e.lec.trum	el'ectrum	e l e k t r u m
118432	118432	eurosceptic	=	Ncms-n	e.u.ro.scep.tic	eurosc'eptic	e u r o s tS e p t i k
118433	118433	eurosceptic	=	Ncmsrn	e.u.ro.scep.tic	eurosc'eptic	e u r o s tS e p t i k
125173	125173	federvais	=	Ncfp-n	fe.der.vais	f'edervais	f e d e r v a j s
125174	125174	federvais	=	Ncm--n	fe.der.vais	f'edervais	f e d e r v a j s
125175	125175	federvais	=	Ncmsvn	fe.der.vais	f'edervais	f e d e r v a j s
126007	126007	fetească	=	Ncfsrn	fe.teas.că	fete'ască	f e t e_X a s k @
126008	126008	fetească	=	Ncfsvy	fe.teas.că	fete'ască	f e t e_X a s k @
127831	127831	fixaj	=	Ncfp-n	fi.xaj	fix'aj	f i ks a Z
127832	127832	fixaj	=	Ncm--n	fi.xaj	fix'aj	f i ks a Z
127833	127833	fixaj	=	Ncmsvn	fi.xaj	fix'aj	f i ks a Z
128279	128279	flax	=	Ncfp-n	flax	flax	f l a ks
128280	128280	flax	=	Ncm--n	flax	flax	f l a ks
128281	128281	flax	=	Ncmsvn	flax	flax	f l a ks
128563	128563	flint	=	Ncfp-n	flint	flint	f l i n t
128564	128564	flint	=	Ncm--n	flint	flint	f l i n t
128565	128565	flint	=	Ncmsvn	flint	flint	f l i n t
128699	128699	floricele	=	Ncfp-n	flo.ri.ce.le	floric'ele	f l o r i tS e l e
128700	128700	floricele	=	Ncfson	flo.ri.ce.le	floric'ele	f l o r i tS e l e
128724	128724	florii	=	Ncfp-n	flo.rii	flor'ii	f l o r i j
